197,San Carlos,"(-72.01887999321377, -36.38570122066896)"
198,Tomé,"(-72.85807993204944, -36.61683236204555)"
199,Algarrobo,"(-71.59881763676665, -33.32954557920236)"
200,Casablanca,"(-71.43475809751975, -33.31584423633454)"
201,Valparaíso,"(-71.57315764080816, -33.129665470118546)"
202,Renca,"(-70.7276530720703, -33.40174606714858)"
203,Viña del Mar,"(-71.51516017149497, -33.027739465809105)"
204,Concón,"(-71.46684245205336, -32.95255775387246)"
205,Quintero,"(-71.47266087523676, -32.84308082708368)"
206,Puchuncaví,"(-71.38748971794921, -32.74536758583594)"
207,El Monte,"(-71.03354815130663, -33.66787874399226)"
208,Zapallar,"(-71.33594564153644, -32.58752600738424)"
209,Papudo,"(-71.37977484923125, -32.47480928141005)"
210,La Ligua,"(-71.27091318553668, -32.3538083233924)"
211,Los Vilos,"(-71.30372836894168, -31.978030780723365)"
212,Canela,"(-71.39422727619323, -31.40186116174566)"
213,Ovalle,"(-71.40525931658264, -30.673267264206135)"
214,Coquimbo,"(-71.35852254551176, -30.228528161623906)"
215,La Serena,"(-71.06057843934987, -29.789188783636146)"
216,Freirina,"(-71.17834807607026, -28.813950629298684)"
217,Huasco,"(-71.02857339987321, -28.250506738836577)"
218,Copiapó,"(-69.82179107537473, -27.31697360123214)"
219,Caldera,"(-70.68263319684013, -27.14264881679898)"
220,Huara,"(-69.65642758124062, -19.602460031094246)"
221,Camarones,"(-69.7151024065154, -18.93733304576598)"
222,San Juan de la Costa,"(-73.56051653393963, -40.50679705235362)"
223,Arica,"(-69.97263654490912, -18.532377565079038)"
224,Mariquina,"(-73.01691677770373, -39.510502236874025)"
225,Arauco,"(-73.3997194329066, -37.288604049398515)"
226,Tocopilla,"(-70.0179642667263, -22.003337961466162)"
227,Padre Hurtado,"(-70.87111959102215, -33.55749844842726)"
228,Peñaflor,"(-70.8936711890993, -33.61100539325154)"
229,Antofagasta,"(-69.40526289517368, -24.278207657516056)"
230,Mejillones,"(-70.2029230268139, -22.946245210033705)"
231,Taltal,"(-69.86211019870233, -25.310257099707155)"
232,Chañaral,"(-70.33810701019799, -26.373111655928085)"
233,Cauquenes,"(-72.28066572592908, -35.9712124043714)"
234,Juan Fernández,"(-79.8647701078584, -33.31826335499955)"
235,Isla de Pascua,"(-109.3509128746019, -27.11875624788)"
236,Cabo de Hornos,"(-69.25621743649634, -55.02457448398394)"
237,Talagante,"(-70.89545164521216, -33.68199219019201)"
238,Timaukel,"(-69.54089382238583, -54.201878536862)"
239,Guaitecas,"(-73.81428550132256, -43.94568752181584)"
240,Alto Hospicio,"(-70.01098393826344, -20.189960160200126)"
241,Sierra Gorda,"(-69.30921808179501, -23.25999001216951)"
242,Combarbalá,"(-70.96540441301772, -31.14658710712103)"
243,Punitaqui,"(-71.3326301242798, -30.946076588480167)"
244,Paihuano,"(-70.37194070903101, -30.234369833804656)"
245,Illapel,"(-70.97038589402133, -31.549281369715775)"
246,Limache,"(-71.27813087186489, -33.03119409922681)"
247,Quillota,"(-71.27257667026903, -32.90474100454086)"
248,Aysén,"(-73.77447273002772, -45.98835102446789)"
249,Calera,"(-71.15570009926468, -32.7938696815965)"
250,Nogales,"(-71.17616365244388, -32.69155529511993)"
251,Calle Larga,"(-70.5446505776192, -32.95075534772121)"
252,La Estrella,"(-71.60261504682087, -34.22309306828831)"
253,Paine,"(-70.75827159404801, -33.86344263658533)"
254,Calbuco,"(-73.19524300360099, -41.72293791140338)"
255,Chaitén,"(-72.57586560009548, -43.0951107328675)"
256,Corral,"(-73.37174219203798, -39.989164695673814)"
257,Valdivia,"(-73.16950968958541, -39.8184749498957)"
258,Iquique,"(-70.04807014129119, -20.923357075112413)"
259,La Higuera,"(-70.901867249515, -29.3755265433674)"
260,Los Muermos,"(-73.58084585873108, -41.39658600139648)"
261,Maullín,"(-73.50191472316472, -41.63615501265624)"
262,Quinchao,"(-73.35841879019397, -42.521331544887424)"
263,Curaco de Vélez,"(-73.57887350217207, -42.426037859515766)"
264,Treguaco,"(-72.6595970557916, -36.428048605670526)"
265,Ranquil,"(-72.58793819461012, -36.64046348394751)"
266,Portezuelo,"(-72.4666345634046, -36.546292155647954)"
267,Cobquecura,"(-72.72049300077357, -36.180992216427484)"
268,Quirihue,"(-72.54372066204796, -36.235668792395586)"
269,Coelemu,"(-72.75029560777888, -36.505194504663734)"
270,Ninhue,"(-72.40970508004786, -36.35674628231902)"
271,Doñihue,"(-70.92366824072442, -34.19666442686152)"
272,Olivar,"(-70.82082033588289, -34.21141090735382)"
273,Isla de Maipo,"(-70.94614736755243, -33.74865819393069)"
274,Buin,"(-70.73935516680886, -33.747697470382526)"
275,Rengo,"(-70.71873258295328, -34.454642742067314)"
276,Santa Cruz,"(-71.40194385204909, -34.64298742372999)"
277,Palmilla,"(-71.35306255721976, -34.52830573949065)"
278,Río Claro,"(-71.26969571654564, -35.2603065658314)"
279,Pelarco,"(-71.35001705311508, -35.38305875105594)"
280,San Javier,"(-71.92723258352537, -35.62899375717348)"
281,Villa Alegre,"(-71.68355124876568, -35.6858042657171)"
282,Yerbas Buenas,"(-71.54414657880127, -35.689770303241204)"
283,Maule,"(-71.71105602425823, -35.508975009372094)"
284,San Rafael,"(-71.50092837667206, -35.30242867251492)"
285,Santa Bárbara,"(-71.74918650866857, -37.62137074564426)"
286,Villarrica,"(-72.18365963114069, -39.30116467051363)"
287,Pucón,"(-71.79243637192242, -39.27101920007033)"
288,Padre Las Casas,"(-72.55536947362286, -38.80228083033558)"
289,Puerto Octay,"(-72.59868795506452, -40.9329700902677)"
290,Frutillar,"(-73.09412732026847, -41.08695159107285)"
291,La Cruz,"(-71.24018807080084, -32.824992612156635)"
292,Sagrada Familia,"(-71.49591219775635, -35.10383022651245)"
293,Retiro,"(-71.8296005546077, -36.00214661447432)"
294,Quinta de Tilcoco,"(-70.99805764400921, -34.35924452408165)"
295,General Lagos,"(-69.57151871614185, -17.830523260327354)"
296,San Pedro de Atacama,"(-67.90949791756996, -23.404063702680666)"
297,Tierra Amarilla,"(-69.67089065594664, -27.8632659326002)"
298,Putaendo,"(-70.52162427079345, -32.4812303080191)"
299,Monte Patria,"(-70.65025042741452, -30.83458501072012)"
300,Río Hurtado,"(-70.65392826217405, -30.430418066765732)"
301,Salamanca,"(-70.6613006525538, -31.893373466940464)"
302,San Esteban,"(-70.3482839472294, -32.68664890702957)"
303,Los Andes,"(-70.24312786956055, -32.95091561371347)"
304,San José de Maipo,"(-70.09671566714962, -33.70443028113423)"
305,Curicó,"(-70.89569982026417, -35.19893236911807)"
306,Machalí,"(-70.31917651428306, -34.320616836741614)"
307,Molina,"(-70.91009763222571, -35.3526627351508)"
308,Colbún,"(-70.97862713761877, -36.07722670413651)"
309,San Clemente,"(-70.84843847466857, -35.71192106243452)"
310,Melipeuco,"(-71.61080103487821, -38.82477846628082)"
311,Lago Ranco,"(-72.16578530864152, -40.37261712015984)"
312,Futrono,"(-72.11549727841624, -40.11859162550143)"
313,Puerto Varas,"(-72.38593933815069, -41.18986061386627)"
314,Hualaihué,"(-72.37602581389685, -42.17782513270511)"
315,Palena,"(-71.98364204949338, -43.6831505371883)"
316,Futaleufú,"(-72.00708850013628, -43.180384857680586)"
317,Ollagüe,"(-68.31522964176601, -21.458457542792498)"
318,Pica,"(-68.91319803187157, -20.479667666232984)"
319,Diego de Almagro,"(-69.18871975051216, -26.232901747024446)"
320,Vallenar,"(-70.60309277250965, -28.594890512849982)"
321,Vicuña,"(-70.38219237232705, -29.892057656163487)"
322,Tiltil,"(-70.87619818082722, -33.062735561205685)"
323,Hijuelas,"(-71.08108168931722, -32.869354506200004)"
324,Quilpué,"(-71.25420868118107, -33.14718954103236)"
325,Melipilla,"(-71.19498245536818, -33.744044157059854)"
326,Las Cabras,"(-71.33274178766571, -34.16477041595227)"
327,San Pedro,"(-71.45203337676978, -33.93135423742752)"
328,Alhué,"(-71.056592157143, -34.04275216159479)"
329,Chimbarongo,"(-70.98075445734314, -34.7518152780304)"
330,Lolol,"(-71.64872474512076, -34.768084101444664)"
331,Hualañé,"(-71.70882376188621, -34.95267487200235)"
332,Rauco,"(-71.42622294894818, -34.93823224707911)"
333,Chépica,"(-71.359810315915, -34.79193534566687)"
334,Teno,"(-71.02188312621739, -34.888108967603166)"
335,Romeral,"(-70.711533513778, -35.06820783315635)"
336,San Fernando,"(-70.60292220811274, -34.74353703940589)"
337,Parral,"(-71.64573527646137, -36.261936763857534)"
338,Pinto,"(-71.49970198193749, -36.921294845863216)"
339,San Ignacio,"(-72.0293996954204, -36.82242854337992)"
340,Pemuco,"(-72.06761193315195, -36.98292183038202)"
341,San Nicolás,"(-72.22844825954766, -36.47962110095648)"
342,San Fabián,"(-71.28741082191691, -36.57978111733948)"
343,Ñiquén,"(-71.89785466838843, -36.30197779958486)"
344,El Carmen,"(-71.84707619261923, -36.925050920837485)"
345,Coihueco,"(-71.5812601685638, -36.701914643695886)"
